id,name,count
CL:1000497,kidney cell,7249
CL:1000500,kidney interstitial cell,18505
CL:1000547,kidney inner medulla collecting duct epithelial cell,6351
CL:1000549,kidney cortex collecting duct epithelial cell,45
CL:1000597,papillary tips cell,1169
CL:1000692,kidney interstitial fibroblast,55991
CL:1000695,kidney interstitial alternatively activated macrophage,11880
CL:1000698,kidney resident macrophage,174
CL:1000703,kidney pelvis urothelial cell,48
CL:1000742,glomerular mesangial cell,78
CL:1000768,kidney connecting tubule epithelial cell,52752
CL:1000849,kidney distal convoluted tubule epithelial cell,69417
CL:1000891,kidney arterial blood vessel cell,1121
CL:1000892,kidney capillary endothelial cell,1580
CL:1000909,kidney loop of Henle epithelial cell,8870
CL:1001005,glomerular capillary endothelial cell,3866
CL:1001016,kidney loop of Henle ascending limb epithelial cell,508
CL:1001021,kidney loop of Henle descending limb epithelial cell,1011
CL:1001033,peritubular capillary endothelial cell,9093
CL:1001036,vasa recta cell,5698
CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,274966
CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,27763
CL:1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,1156
CL:1001111,kidney loop of Henle thin descending limb epithelial cell,47093
CL:1001131,vasa recta ascending limb cell,1397
CL:1001225,kidney collecting duct cell,545
CL:1001285,vasa recta descending limb cell,912
CL:1001318,renal interstitial pericyte,18664
CL:1001428,bladder urothelial cell,81723
CL:1001431,kidney collecting duct principal cell,126946
CL:1001432,kidney collecting duct intercalated cell,81301
CL:1001433,epithelial cell of exocrine pancreas,5568
CL:1001474,medium spiny neuron,617
CL:1001516,intestinal enteroendocrine cell,1007
CL:1001567,lung endothelial cell,23907
CL:1001568,pulmonary artery endothelial cell,38524
CL:1001569,hippocampal interneuron,69859
CL:1001571,hippocampal pyramidal neuron,132850
CL:1001572,colon endothelial cell,2693
CL:1001576,oral mucosa squamous cell,7386
CL:1001596,salivary gland glandular cell,10690
CL:1001602,cerebral cortex endothelial cell,11941
CL:1001603,lung macrophage,161006
CL:1001607,articular chondrocyte,868
CL:1001609,muscle fibroblast,16974
CL:1001611,cerebellar neuron,2418
CL:2000001,peripheral blood mononuclear cell,131
CL:2000002,decidual cell,12959
CL:2000006,tonsil germinal center B cell,20505
CL:2000016,lung microvascular endothelial cell,3430
CL:2000021,sebaceous gland cell,233
CL:2000028,cerebellum glutamatergic neuron,1846
CL:2000029,central nervous system neuron,70165
CL:2000030,hypothalamus cell,2564
CL:2000032,peripheral nervous system neuron,6195
CL:2000041,dermis microvascular lymphatic vessel endothelial cell,742
CL:2000042,embryonic fibroblast,11513
CL:2000046,ventricular cardiac muscle cell,11011
CL:2000047,brainstem motor neuron,2849
CL:2000054,hepatic pit cell,9829
CL:2000055,liver dendritic cell,1441
CL:2000059,prostate gland microvascular endothelial cell,14230
CL:2000060,placental villous trophoblast,150453
CL:2000064,ovarian surface epithelial cell,16930
CL:2000092,hair follicular keratinocyte,10424
CL:2000093,bronchus fibroblast of lung,28850
CL:2000095,cord blood hematopoietic stem cell,9056
CL:2000097,midbrain dopaminergic neuron,18286
CL:3000001,Hofbauer cell,52282
CL:4006000,fibroblast of breast,31907
CL:4023009,extratelencephalic-projecting glutamatergic cortical neuron,140218
CL:4023011,lamp5 GABAergic cortical interneuron,374886
CL:4023012,near-projecting glutamatergic cortical neuron,125010
CL:4023013,corticothalamic-projecting glutamatergic cortical neuron,176550
CL:4023015,sncg GABAergic cortical interneuron,122884
CL:4023016,VIP GABAergic cortical interneuron,568252
CL:4023017,sst GABAergic cortical interneuron,514975
CL:4023018,pvalb GABAergic cortical interneuron,580783
CL:4023026,direct pathway medium spiny neuron,5385
CL:4023029,indirect pathway medium spiny neuron,6172
CL:4023032,ON retinal ganglion cell,549
CL:4023033,OFF retinal ganglion cell,1124
CL:4023036,chandelier pvalb GABAergic cortical interneuron,70549
CL:4023038,L6b glutamatergic cortical neuron,161341
CL:4023040,L2/3-6 intratelencephalic projecting glutamatergic neuron,3861717
CL:4023041,L5 extratelencephalic projecting glutamatergic cortical neuron,31409
CL:4023042,L6 corticothalamic-projecting glutamatergic cortical neuron,4706
CL:4023043,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,1215
CL:4023050,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,4206
CL:4023051,vascular leptomeningeal cell,22550
CL:4023054,mesothelial fibroblast,232
CL:4023059,differentiation-committed oligodendrocyte precursor,1424
CL:4023064,caudal ganglionic eminence derived interneuron,83615
CL:4023069,medial ganglionic eminence derived GABAergic cortical interneuron,12808
CL:4023072,brain vascular cell,7437
CL:4023083,chandelier cell,490
CL:4023111,cerebral cortex pyramidal neuron,320968
CL:4023121,sst chodl GABAergic cortical interneuron,100
CL:4023161,unipolar brush cell,3847
CL:4023188,midget ganglion cell of retina,10103
CL:4023189,parasol ganglion cell of retina,446
CL:4028001,pulmonary capillary endothelial cell,42132
CL:4028002,alveolar capillary type 1 endothelial cell,15066
CL:4028003,alveolar capillary type 2 endothelial cell,14539
CL:4028004,alveolar type 1 fibroblast cell,50376
CL:4028006,alveolar adventitial fibroblast,44487
CL:4030006,fallopian tube secretory epithelial cell,465721
CL:4030009,epithelial cell of proximal tubule segment 1,777
CL:4030011,epithelial cell of proximal tubule segment 3,989
CL:4030018,kidney connecting tubule principal cell,107
CL:4030022,renal medullary fibroblast,5902
CL:4030023,respiratory hillock cell,10170
CL:4030026,"BEST4+ intestinal epithelial cell, human",12340
CL:4030027,GABAergic amacrine cell,745686
CL:4030028,glycinergic amacrine cell,278666
CL:4030034,respiratory ciliated cell,4462
CL:4030055,intermediate cell of urothelium,27013
CL:4030056,umbrella cell of urothelium,5238
CL:4030059,L2/3 intratelencephalic projecting glutamatergic neuron,41418
CL:4030063,L4 intratelencephalic projecting glutamatergic neuron,3978
CL:4030067,L5/6 near-projecting glutamatergic neuron,1186
CL:4033003,myoepithelial cell of bronchus submucosal gland,82
CL:4033005,serous secreting cell of bronchus submucosal gland,11609
CL:4033008,vein endothelial cell of respiratory system,11368
CL:4033013,suprabasal keratinocyte,3986
CL:4033014,peg cell,9787
CL:4033015,retinal astrocyte,373
CL:4033016,secondary crest myofibroblast,953
CL:4033017,bronchiolar smooth muscle cell,634
CL:4033018,lung megakaryocyte,41
CL:4033019,ON-blue cone bipolar cell,6044
CL:4033022,mucus secreting cell of bronchus submucosal gland,295
CL:4033023,airway submucosal gland collecting duct epithelial cell,1009
CL:4033024,airway submucosal gland duct basal cell,2368
CL:4033026,lung perichondrial fibroblast,822
CL:4033027,diffuse bipolar 1 cell,103856
CL:4033028,diffuse bipolar 2 cell,141888
CL:4033029,diffuse bipolar 3a cell,47167
CL:4033030,diffuse bipolar 3b cell,73020
CL:4033031,diffuse bipolar 4 cell,102613
CL:4033032,diffuse bipolar 6 cell,39010
CL:4033033,flat midget bipolar cell,301471
CL:4033034,invaginating midget bipolar cell,228793
CL:4033035,giant bipolar cell,52916
CL:4033036,OFFx cell,31797
CL:4033037,mucus secreting cell of tracheobronchial tree submucosal gland,1113
CL:4033038,"lung resident memory CD4-positive, alpha-beta T cell",3718
CL:4033039,"lung resident memory CD8-positive, alpha-beta T cell",8397
CL:4033042,metallothionein-positive alveolar macrophage,820
CL:4033043,lung interstitial macrophage,7107
CL:4033044,deuterosomal cell,1264
CL:4033046,ON midget ganglion cell,303370
CL:4033047,OFF midget ganglion cell,400804
CL:4033048,respiratory suprabasal cell,26426
CL:4033051,OFF parasol ganglion cell,20208
CL:4033052,ON parasol ganglion cell,12368
CL:4033054,perivascular cell,394076
CL:4033057,luminal adaptive secretory precursor cell of mammary gland,755338
CL:4033058,luminal hormone-sensing cell of mammary gland,534342
CL:4040002,enteroglial cell,2969
unknown,unknown,2993011
